Product Name,Price,Rating,Link
"100W Fast Charging 3.0 USB Cable 4 Ft / 1.2M To 3-In-1 Long Charging Cord With Type C + Micro Usb + Lightning Connector 480 Mbps Data Transfer For Laptop,Tablets,Smartphones & More, Black",Rs.  183,78.0,https://www.snapdeal.com/product/100w-fast-charging-30-usb/671911737777
Gizga Essentials Black Laptop Sleeves,Rs.  86,90.0,https://www.snapdeal.com/product/gizga-essentials-black-laptop-sleeves/686410174615
"85W Fast Charger with 3-in-1 Charging Cable | Type-C, Micro USB & Lightning | Universal Quick Charging Adapter for Laptop, Smartphone, Tablet | Travel-Friendly Power Delivery Charger",Rs.  349,84.00000000000001,https://www.snapdeal.com/product/85w-fast-charger-with-3in1/624513511351
Fifty Shades Film trilogy Series (3 Movies) in Hindi Play only in Computer or Laptop HD Quality without Poster,Rs.  313,20.0,https://www.snapdeal.com/product/fifty-shades-film-trilogy-series/639947824355
OLIVEOPS Multicolor Matt - Finish Laptop Skin,Rs.  185,N/A,https://www.snapdeal.com/product/oliveops-multicolor-matt-finish-laptop/668982955590
"HDMI to VGA Adapter/Converter 1080P for Projector, Computer, Laptop, TV",Rs.  196,78.0,https://www.snapdeal.com/product/hdmi-to-vga-adapterconverter-1080p/679327128104
"Super-Fast 67W Type-C Charger with USB-C to USB-C Cable | Universal PD Adapter for Mobile Phones, Tablets, and Laptops | Travel-Friendly & Efficient Charging",Rs.  376,80.0,https://www.snapdeal.com/product/superfast-67w-typec-charger-with/634067725406
Neonnest Laptop Table For Upto 35.56 cm (14) Black,Rs.  408,84.00000000000001,https://www.snapdeal.com/product/neonnest-laptop-table-for-upto/677371072167
American Pie Film series (9 Movies) only in English play only in Computer or Laptop HD Quality without Poster,Rs.  373,N/A,https://www.snapdeal.com/product/american-pie-film-series-9/649893431842
Martucci 35 Ltrs Black Laptop Bags,Rs.  570,84.00000000000001,https://www.snapdeal.com/product/martucci-35-ltrs-black-laptop/663863040489
Magnique 6 Angles Adjustable Aluminum Foldable Portable Laptop Riser Stand for All Laptops (Silver),Rs.  294,76.0,https://www.snapdeal.com/product/magnique-metal-laptop-stand-pack/670009229089
Shopper52 Laptop Table For Upto 40.64 cm (16) Black,Rs.  512,84.00000000000001,https://www.snapdeal.com/product/shopper52-laptop-table-for-upto/633110173965
"Conjuring 1 to 3 , Annabelle 1 to 3 & Evil Dead (7 Movies) Dual Audio Hindi & English both Play only in Computer or Laptop HD print without poster",Rs.  395,N/A,https://www.snapdeal.com/product/conjuring-1-to-3-annabelle/625961607928
